City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
101,Dikson,RU,2020-11-03 02:01:53,73.51,80.55,14.11,94,99,11.01
102,Husavik,IS,2020-11-03 02:01:54,66.04,-17.34,35.6,93,90,20.8
103,Altea,ES,2020-11-03 02:01:54,38.6,-0.05,63.0,93,0,2.86
104,Nyurba,RU,2020-11-03 02:01:54,63.28,118.33,9.66,89,100,8.46
105,Banda Aceh,ID,2020-11-03 01:59:09,5.56,95.32,82.83,72,61,4.41
106,Kayerkan,RU,2020-11-03 02:01:54,69.35,87.76,12.2,85,40,2.24
107,Pangnirtung,CA,2020-11-03 02:01:54,66.15,-65.71,17.02,83,100,12.59
108,Esperance,AU,2020-11-03 02:01:54,-33.87,121.9,59.0,100,75,17.22
109,Alice Springs,AU,2020-11-03 02:01:01,-23.7,133.88,95.0,9,0,6.93
110,Barcelona,ES,2020-11-03 01:58:20,41.39,2.16,64.99,82,75,1.12
111,Hilo,US,2020-11-03 02:00:08,19.73,-155.09,82.4,69,90,6.93
112,Port-Gentil,GA,2020-11-03 02:01:55,-0.72,8.78,77.67,85,44,8.21
113,Teya,RU,2020-11-03 02:01:55,60.38,92.63,24.53,95,100,5.88
114,Cape Town,ZA,2020-11-03 01:57:46,-33.93,18.42,64.99,88,0,8.05
115,Khani,GE,2020-11-03 02:01:55,41.96,42.96,55.4,100,90,1.12
116,Susangerd,IR,2020-11-03 02:01:56,31.56,48.18,57.2,67,0,2.24
117,Tazovskiy,RU,2020-11-03 02:01:56,67.47,78.7,15.26,97,91,9.84
118,Broken Hill,AU,2020-11-03 02:01:56,-31.95,141.43,86.0,16,7,13.87
119,Vila Franca Do Campo,PT,2020-11-03 02:01:56,37.72,-25.43,60.8,72,75,13.87
120,Namibe,AO,2020-11-03 02:01:56,-15.2,12.15,68.04,79,99,6.58
121,Solaro,IT,2020-11-03 02:01:56,44.88,9.17,53.01,92,8,2.08
122,Provideniya,RU,2020-11-03 02:01:56,64.38,-173.3,30.2,68,75,8.95
123,Vestmanna,FO,2020-11-03 02:01:56,62.16,-7.17,44.6,75,16,20.8
124,Port Alfred,ZA,2020-11-03 02:01:57,-33.59,26.89,65.5,86,2,17.74
125,Marsa Matruh,EG,2020-11-03 02:01:57,31.35,27.25,62.6,88,40,6.93
126,Tagusao,PH,2020-11-03 02:01:57,9.19,117.81,85.01,68,100,8.32
127,Klaksvik,FO,2020-11-03 02:01:57,62.23,-6.59,44.6,75,0,20.8
128,Jiguani,CU,2020-11-03 02:01:57,20.37,-76.43,78.8,83,90,6.93
129,Gushikawa,JP,2020-11-03 02:01:57,26.35,127.87,77.0,69,75,21.92
